Sinif Adi                                    Vtable VA    Slots
CUIMessageWnd                                0x01030BB4   52
CUIMessageWndSmall                           0x01030C88   52
CUIMessengerManager                          0x01030D5C   52
CUIMessengerMiniBar                          0x01030E58   52
CUIMessengerMiniBarGroup                     0x01030F2C   52
CUIMessengerWindow                           0x0103112C   52
CUIMessengerWindowGroup                      0x01031200   52
CUIMiniCaptcha                               0x01021B08   52
CUIMiniMap                                   0x01031680   52
CUIMiniMenu                                  0x010317B4   52
CUIMonthly_Radder                            0x01038278   55
CUIMoveChrSelect                             0x01031950   52
CUIMovieResolution                           0x01031AA0   52
CUIMovieResult                               0x01031B90   52
CUIMovieSave                                 0x01031C74   52
CUIMsgBoxOk                                  0x01031D48   52
CUIMsgBoxOkCancel                            0x01031E1C   52
CUIMsgEdit                                   0x01031EF0   52
CUINCSChannelList                            0x01032874   52
CUINCSChatRoomCreate                         0x010329D0   52
CUINCSChatRoomPW                             0x01032AB4   52
CUINCSChatRoomSearch                         0x01032B88   52
CUINCSChatRoomUserList                       0x01032CD8   52
CUINPCBalloon                                0x01033818   52
CUINPCChangeEvent                            0x01033924   52
CUINPCEvent                                  0x01033A1C   52
CUINationIntro                               0x01031FE4   52
CUINationMsg01                               0x010320B8   52
CUINationMsg02                               0x010321B4   52
CUINationSelect                              0x010322D8   52
CUINationSelectDlg                           0x01032408   52
CUINationTax                                 0x0103259C   52
CUINationTaxRate                             0x01032684   52
CUINestIndun                                 0x01032DC4   52
CUINetDio                                    0x01032F0C   52
CUINewForceBar                               0x01033000   52
CUINewLooting                                0x01033168   52
CUINewLootingOption                          0x010334FC   52
CUINewToolTipDlg                             0x01033648   52
CUINotice                                    0x01033744   52
CUINpcMenu                                   0x01033B54   52
CUINpcPetUpgrade                             0x01033C54   52
CUINpcTalk                                   0x01033D30   52
CUIOtpsend                                   0x01033E98   52
CUIPPCardBase                                0x01035850   53
CUIPPCardBegin                               0x0103593C   53
CUIPPCardBuyList                             0x01035A58   53
CUIPPCardInput                               0x01035B54   52
CUIPPCardList                                0x01035C58   53
CUIPPCardMessage                             0x01035D30   52
CUIPPCardMyInfo                              0x01035E60   53
CUIPPCardRegist                              0x01035F8C   53
CUIPPCardTradePW                             0x01036064   52
CUIPartyAccessGroup                          0x01033F6C   52
CUIPartyAccessMsgBox                         0x01034040   52
CUIPartyBBS                                  0x0103417C   52
CUIPartyBBSExt                               0x01034308   52
CUIPartyBBSMessage                           0x01034434   52
CUIPartyBBSMessagePersonal                   0x01034508   52
CUIPartyBBSSelector                          0x01034618   52
CUIPartyOrForce                              0x01034A60   52
CUIPassiveSkillView                          0x0100B5F4   52
CUIPerTradeDlg                               0x01034BDC   67
CUIPetBalloon                                0x01034D14   52
CUIPetBalloonMgr                             0x01034DE8   52
CUIPetHotkey                                 0x01034F30   67
CUIPetHpBar                                  0x0103508C   52
CUIPetItem                                   0x01035188   67
CUIPetMenu                                   0x010352D0   52
CUIPetSkill                                  0x010353C4   67
CUIPetState                                  0x010354FC   52
